id,en,zh,lzh,ja,ru
教程：请拾起未熄灭的蜡烛,Tutorial: Pick up the unextinguished candle,教程：请拾起未熄灭的蜡烛,,チュートリアル：消えていないろうそくを拾ってください,
教程：找到熄灭的灯源并点亮它,Tutorial: Find and light the extinguished light source,教程：找到熄灭的灯源并点亮它,,チュートリアル：消えた光源を見つけて灯りをともそう,
教程：请双击陶谦的牌位,Tutorial: Double-click Tao Qian's memorial tablet,教程：请双击陶谦的牌位,,チュートリアル：陶謙の位牌をダブルクリックしてください,
蜡烛,Candle,蜡烛,,ろうそく,
请点击政策获取施政的详细信息,Please click on the policy to view governance details,请点击政策获取施政的详细信息,,政策をクリックして詳細を確認してください,
风好大，灯笼被吹灭了,"The wind is so strong, the lantern blew out.",风好大，灯笼被吹灭了 ,,風が強くて、提灯が消えてしまった,
太黑了，我觉得我头有亿点点晕,"It's too dark, I feel a little dizzy.",太黑了，我觉得我头有亿点点晕,,暗すぎて、ちょっと頭がクラクラする,
教程,Tutorial,教程,,チュートリアル,
请拾起未熄灭的蜡烛,Please pick up the unextinguished candle,请拾起未熄灭的蜡烛,,消えていないろうそくを拾ってください,
我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,My vision isn't very clear... There must be something here to light up this area.,我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,,私の目はよく見えない…きっとこの辺りを照らす何かがあるはずだ,
我可以用这微弱的火源寻找熄灭的灯并点亮它,I can use this faint flame to find and light the extinguished lamps.,我可以用这微弱的火源寻找熄灭的灯并点亮它,,このかすかな火で消えた灯りを探して灯すことができる,
找到熄灭的灯源并点亮它,Find the extinguished light source and light it up,找到熄灭的灯源并点亮它,,消えた光源を見つけて灯す,
很好，我可以看清整个房间里的东西了,"Great, I can see everything in the room clearly now.",很好，我可以看清整个房间里的东西了,,よし、部屋の中のものが全部見えるようになった,
等等 这是,"Wait, this is",等等 这是,,待って これは,
陶谦的牌位...他怎么会？而我为什么会在这里,Tao Qian's memorial tablet... How could this be? And why am I here?,陶谦的牌位...他怎么会？而我为什么会在这里,,陶謙の位牌…なぜ彼が？そして、なぜ私はここにいるのか,
好像 牌位上有什么机关，双击点击看看,,好像 牌位上有什么机关，双击点击看看,,位牌に何か仕掛けがあるようです。ダブルクリックしてみてください,
请双击陶谦的牌位,Please double-click Tao Qian's memorial tablet,请双击陶谦的牌位,,陶謙の位牌をダブルクリックしてください,
